"filename", "language", "pip requirements", "Python", "XML", "Django", "JavaScript", "CSS", "comment", "blank", "total"
"c:\Users\LEGION 5 PRO\PycharmProjects\Django_heavens\comercial\migrations\0003_historicalpedido.py", "Python", 0, 56, 0, 0, 0, 0, 1, 6, 63
"c:\Users\LEGION 5 PRO\PycharmProjects\Django_heavens\comercial\migrations\0004_historicaldetallepedido.py", "Python", 0, 52, 0, 0, 0, 0, 1, 6, 59
"c:\Users\LEGION 5 PRO\PycharmProjects\Django_heavens\comercial\migrations\0005_alter_historicalpedido_fecha_entrega_and_more.py", "Python", 0, 27, 0, 0, 0, 0, 1, 6, 34
"c:\Users\LEGION 5 PRO\PycharmProjects\Django_heavens\comercial\migrations\0006_alter_historicalpedido_tasa_representativa_usd_diaria_and_more.py", "Python", 0, 17, 0, 0, 0, 0, 1, 6, 24
"c:\Users\LEGION 5 PRO\PycharmProjects\Django_heavens\comercial\migrations\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\LEGION 5 PRO\PycharmProjects\Django_heavens\comercial\models.py", "Python", 0, 269, 0, 0, 0, 0, 9, 52, 330
"c:\Users\LEGION 5 PRO\PycharmProjects\Django_heavens\comercial\static\css\crear_pedido.css", "CSS", 0, 0, 0, 0, 0, 38, 2, 4, 44
"c:\Users\LEGION 5 PRO\PycharmProjects\Django_heavens\comercial\static\css\detalle_pedido.css", "CSS", 0, 0, 0, 0, 0, 138, 0, 37, 175
"c:\Users\LEGION 5 PRO\PycharmProjects\Django_heavens\comercial\static\css\detalle_pedido_crear.css", "CSS", 0, 0, 0, 0, 0, 34, 2, 7, 43
"c:\Users\LEGION 5 PRO\PycharmProjects\Django_heavens\comercial\static\css\historico.css", "CSS", 0, 0, 0, 0, 0, 89, 1, 27, 117
"c:\Users\LEGION 5 PRO\PycharmProjects\Django_heavens\comercial\static\css\pedido_base.css", "CSS", 0, 0, 0, 0, 0, 38, 0, 11, 49
"c:\Users\LEGION 5 PRO\PycharmProjects\Django_heavens\comercial\static\css\pedido_items.css", "CSS", 0, 0, 0, 0, 0, 137, 0, 37, 174
"c:\Users\LEGION 5 PRO\PycharmProjects\Django_heavens\comercial\static\js\crear_detalle_pedido.js", "JavaScript", 0, 0, 0, 0, 28, 0, 0, 3, 31
"c:\Users\LEGION 5 PRO\PycharmProjects\Django_heavens\comercial\static\js\crear_pedido.js", "JavaScript", 0, 0, 0, 0, 28, 0, 0, 3, 31
"c:\Users\LEGION 5 PRO\PycharmProjects\Django_heavens\comercial\static\js\editar_detalle_pedido.js", "JavaScript", 0, 0, 0, 0, 38, 0, 0, 5, 43
"c:\Users\LEGION 5 PRO\PycharmProjects\Django_heavens\comercial\static\js\editar_pedido.js", "JavaScript", 0, 0, 0, 0, 38, 0, 0, 5, 43
"c:\Users\LEGION 5 PRO\PycharmProjects\Django_heavens\comercial\static\js\editar_pedido_exportador.js", "JavaScript", 0, 0, 0, 0, 38, 0, 0, 4, 42
